secret_length,secret_special_chars,secret_has_url,StartLine,EndLine,StartColumn,EndColumn,secret_entropy,secret_letter_ratio,secret_digit_ratio,secret_upper_ratio,secret_special_ratio,secret_base64_ratio,has_prefix_aws_akid,has_prefix_github,has_prefix_slack,ctx_has_pass,ctx_has_token,ctx_has_key,ctx_has_secret,ctx_has_example,RuleID,file_extension
40,1,0,83,145,1,13,5.121928094887363,0.85,0.125,0.3,0.025,0.975,0,0,0,0,0,1,0,1,heroku-api-key,json
130,23,0,61,184,72,66,5.088740775300486,0.6615384615384615,0.1,0.46923076923076923,0.17692307692307693,0.7692307692307693,0,0,0,0,0,1,0,1,private-key,py
42,1,0,26,39,55,74,4.612439148917725,0.8571428571428571,0.11904761904761904,0.38095238095238093,0.023809523809523808,0.9761904761904762,0,0,0,0,0,0,0,1,github-pat,py
21,1,0,192,136,76,66,4.201841232302569,0.5714285714285714,0.38095238095238093,0.3333333333333333,0.047619047619047616,0.9523809523809523,0,0,0,0,1,0,0,1,aws-access-token,py
42,1,0,42,49,73,42,4.993391529870107,0.9047619047619048,0.07142857142857142,0.40476190476190477,0.023809523809523808,0.9761904761904762,0,0,0,0,0,1,0,1,api-key,md
15,2,0,148,114,59,13,3.1068905956085184,0.8666666666666667,0.0,0.0,0.13333333333333333,0.8666666666666667,0,0,0,0,0,0,0,1,mongodb-atlas-connection-string,py
37,1,0,98,172,27,56,4.607705730318401,0.8378378378378378,0.13513513513513514,0.4864864864864865,0.02702702702702703,0.972972972972973,0,0,0,0,0,1,0,0,twilio-api-key,md
87,2,0,30,41,57,28,5.336003696724611,0.7701149425287356,0.20689655172413793,0.40229885057471265,0.022988505747126436,0.9770114942528736,0,0,0,0,1,0,0,1,jwt-token,json
38,1,0,34,81,69,16,4.543851526544547,0.8947368421052632,0.07894736842105263,0.3684210526315789,0.02631578947368421,0.9736842105263158,0,0,0,1,0,0,0,1,postgres-password,json
82,2,0,71,118,13,12,5.368290840242915,0.8536585365853658,0.12195121951219512,0.5,0.024390243902439025,0.975609756097561,0,0,0,0,1,0,0,1,jwt-token,yml
38,1,0,22,57,23,10,4.681880802803404,0.8421052631578947,0.13157894736842105,0.39473684210526316,0.02631578947368421,0.9736842105263158,0,0,0,0,1,0,0,1,sendgrid-api-token,py
118,24,0,28,131,10,28,5.051040114027446,0.6694915254237288,0.07627118644067797,0.4661016949152542,0.2033898305084746,0.7796610169491526,0,0,0,0,0,1,0,0,private-key,yml
40,1,0,192,90,71,46,4.615311532225102,0.85,0.125,0.275,0.025,0.975,0,0,0,0,0,1,0,1,heroku-api-key,md
130,26,0,106,73,30,51,5.120278201993639,0.6846153846153846,0.05384615384615385,0.47692307692307695,0.2,0.7692307692307693,0,0,0,0,0,1,0,1,private-key,json
33,2,0,171,190,54,56,4.55954563450997,0.8181818181818182,0.12121212121212122,0.3333333333333333,0.06060606060606061,0.9393939393939394,0,0,0,0,0,1,0,0,stripe-api-key,md
87,3,0,72,132,33,5,5.439676685329828,0.8620689655172413,0.10344827586206896,0.41379310344827586,0.034482758620689655,0.9655172413793104,0,0,0,0,1,0,0,1,jwt-token,py
38,1,0,119,135,54,24,5.017535737070864,0.8157894736842105,0.15789473684210525,0.2631578947368421,0.02631578947368421,0.9736842105263158,0,0,0,0,1,0,0,0,mailchimp-access-token,md
32,2,0,113,107,78,28,4.476409765557392,0.875,0.0625,0.34375,0.0625,0.9375,0,0,0,0,0,1,0,0,stripe-api-key,env
40,0,0,140,44,75,13,4.703055907333276,0.825,0.175,0.475,0.0,1.0,0,0,0,0,0,1,0,0,heroku-api-key,yml
40,0,0,85,12,54,69,4.703055907333276,0.95,0.05,0.425,0.0,1.0,0,0,0,0,0,1,0,0,heroku-api-key,ts
40,0,0,144,68,64,22,4.821928094887363,0.8,0.2,0.375,0.0,1.0,0,0,0,0,1,0,0,0,sendgrid-api-token,py
37,1,0,99,170,18,21,4.8647266763812915,0.7837837837837838,0.1891891891891892,0.4594594594594595,0.02702702702702703,0.972972972972973,0,0,0,0,1,0,0,1,mailchimp-access-token,py
