secret_length,secret_special_chars,secret_has_url,StartLine,EndLine,StartColumn,EndColumn,secret_entropy,secret_letter_ratio,secret_digit_ratio,secret_upper_ratio,secret_special_ratio,secret_base64_ratio,has_prefix_aws_akid,has_prefix_github,has_prefix_slack,ctx_has_pass,ctx_has_token,ctx_has_key,ctx_has_secret,ctx_has_example,RuleID,file_extension
83,7,0,112,163,32,24,5.385413341137076,0.8313253012048193,0.08433734939759036,0.3855421686746988,0.08433734939759036,0.9156626506024096,0,0,0,0,1,0,0,0,6,6
59,3,0,90,169,20,13,5.187396439045671,0.7457627118644068,0.2033898305084746,0.3559322033898305,0.05084745762711865,0.9491525423728814,0,0,0,0,1,0,0,0,2,3
40,0,0,136,51,65,76,4.465311532225101,0.875,0.125,0.375,0.0,1.0,0,0,0,0,1,0,0,0,11,7
59,1,0,64,30,36,62,5.064597922133187,0.7966101694915254,0.1864406779661017,0.3728813559322034,0.01694915254237288,0.9830508474576272,0,0,0,0,1,0,0,0,2,7
40,0,0,40,37,26,28,4.734183719779189,0.725,0.275,0.375,0.0,1.0,0,0,0,0,0,1,0,0,3,0
42,1,0,195,158,72,54,4.898153434632011,0.9047619047619048,0.07142857142857142,0.40476190476190477,0.023809523809523808,0.9761904761904762,0,0,0,0,0,0,0,1,4,5
40,0,0,86,99,78,62,4.73418371977919,0.825,0.175,0.35,0.0,1.0,0,0,0,0,0,1,0,0,0,7
20,1,0,144,97,60,23,3.8841837197791884,0.75,0.2,0.75,0.05,0.95,0,0,0,0,1,0,0,1,1,12
38,1,0,118,34,41,29,4.859641000228759,0.8157894736842105,0.15789473684210525,0.2894736842105263,0.02631578947368421,0.9736842105263158,0,0,0,0,1,0,0,1,2,7
40,0,0,138,98,10,58,4.853055907333276,0.875,0.125,0.425,0.0,1.0,0,0,0,0,1,0,0,0,7,7
20,0,0,145,154,58,64,3.4086949695628417,0.9,0.1,0.9,0.0,1.0,1,0,0,0,1,0,0,0,1,9
38,1,0,89,41,36,40,4.649114684439285,0.8421052631578947,0.13157894736842105,0.3684210526315789,0.02631578947368421,0.9736842105263158,0,0,0,0,0,1,0,1,0,12
37,1,0,172,95,31,59,4.702564514219129,0.8378378378378378,0.13513513513513514,0.5405405405405406,0.02702702702702703,0.972972972972973,0,0,0,0,1,0,0,1,11,7
37,1,0,189,36,1,31,4.810672622327237,0.8108108108108109,0.16216216216216217,0.5135135135135135,0.02702702702702703,0.972972972972973,0,0,0,0,1,0,0,1,7,7
118,23,0,40,8,71,61,5.036552775514338,0.7033898305084746,0.05084745762711865,0.5254237288135594,0.19491525423728814,0.7796610169491526,0,0,0,0,0,1,0,0,10,12
25,1,0,74,89,56,2,3.813660689688185,0.8,0.16,0.44,0.04,0.96,0,0,0,0,1,0,0,1,1,7
40,0,0,184,122,8,24,4.753055907333277,0.875,0.125,0.45,0.0,1.0,0,0,0,1,0,0,0,0,9,1
40,1,0,141,75,37,80,4.8030559073332775,0.775,0.2,0.275,0.025,0.975,0,0,0,0,0,1,0,1,14,7
40,1,0,4,157,37,37,4.903055907333276,0.75,0.225,0.2,0.025,0.975,0,0,0,0,0,0,0,1,8,5
74,7,0,92,19,8,77,5.100816878908578,0.8243243243243243,0.08108108108108109,0.43243243243243246,0.0945945945945946,0.9594594594594594,0,0,0,0,0,0,0,1,12,7
42,1,0,58,189,22,18,4.814587363100419,0.8571428571428571,0.11904761904761904,0.30952380952380953,0.023809523809523808,0.9761904761904762,0,0,0,0,0,1,0,1,3,7
40,0,0,169,95,42,24,4.715311532225102,0.825,0.175,0.3,0.0,1.0,0,0,0,0,0,1,0,0,3,8
40,0,0,185,153,47,48,4.803055907333277,0.8,0.2,0.4,0.0,1.0,0,0,0,0,0,1,0,0,3,12
38,1,0,19,105,50,19,4.80700942128139,0.8157894736842105,0.15789473684210525,0.3157894736842105,0.02631578947368421,0.9736842105263158,0,0,0,0,0,1,0,0,5,6
40,0,0,183,182,40,30,4.803055907333277,0.775,0.225,0.35,0.0,1.0,0,0,0,0,0,0,0,0,8,5
42,1,0,105,97,53,3,4.651378958998672,0.9047619047619048,0.07142857142857142,0.2619047619047619,0.023809523809523808,0.9761904761904762,0,0,0,0,1,0,0,1,7,12
40,0,0,2,43,31,21,4.78418371977919,0.9,0.1,0.3,0.0,1.0,0,0,0,0,0,1,0,0,5,7
40,1,0,13,29,58,74,4.884183719779189,0.85,0.125,0.45,0.025,0.975,0,0,0,0,0,1,0,1,0,7
38,1,0,4,8,30,13,4.681880802803404,0.8947368421052632,0.07894736842105263,0.42105263157894735,0.02631578947368421,0.9736842105263158,0,0,0,0,1,0,0,1,2,7
38,1,0,44,2,6,72,4.754377842334022,0.8421052631578947,0.13157894736842105,0.3684210526315789,0.02631578947368421,0.9736842105263158,0,0,0,1,0,0,0,1,9,7
40,0,0,74,117,63,12,4.803055907333277,0.875,0.125,0.35,0.0,1.0,0,0,0,0,0,1,0,0,3,12
40,0,0,169,157,3,67,5.071928094887363,0.85,0.15,0.35,0.0,1.0,0,0,0,0,1,0,0,0,11,4
40,0,0,151,144,10,3,4.83418371977919,0.875,0.125,0.475,0.0,1.0,0,0,0,0,1,0,0,0,11,3
32,2,0,194,128,63,8,4.601409765557392,0.875,0.0625,0.40625,0.0625,0.9375,0,0,0,0,0,1,0,0,13,7
42,1,0,143,49,77,46,4.624111172624228,0.8333333333333334,0.14285714285714285,0.40476190476190477,0.023809523809523808,0.9761904761904762,0,0,0,0,0,0,0,1,8,12
40,0,0,116,102,43,37,4.953055907333277,0.825,0.175,0.5,0.0,1.0,0,0,0,0,0,1,0,0,5,9
42,1,0,5,165,49,59,4.868507898969237,0.7857142857142857,0.19047619047619047,0.3333333333333333,0.023809523809523808,0.9761904761904762,0,0,0,0,1,0,0,0,7,6
40,1,0,117,49,37,15,4.8341837197791895,0.85,0.125,0.4,0.025,0.975,0,1,0,0,0,0,0,0,4,12
